uid,lat,lon,timestamp_utc,missing_time_flag,flood_depth_cm
102239,-6.16952,106.90473,2020-02-07T12:00:00,1,28.0
102240,-6.17605,106.86539,2020-02-07T12:00:00,1,20.0
102242,-6.16774,106.86676,2020-02-07T12:00:00,1,30.0
102243,-6.17945,106.90322,2020-02-07T12:00:00,1,61.0
102244,-6.24611,106.86386,2020-02-07T12:00:00,1,195.0
102245,-6.17019,106.92349,2020-02-07T12:00:00,1,146.0
102247,-6.1638,106.88408,2020-02-07T12:00:00,1,46.0
102248,-6.15703,106.8468,2020-02-07T12:00:00,1,45.0
102249,-6.16447,106.88209,2020-02-07T12:00:00,1,45.0
102251,-6.16872,106.8608,2020-02-07T12:00:00,1,20.0
102252,-6.17469,106.86539,2020-02-07T12:00:00,1,44.0
102253,-6.17916,106.86469,2020-02-07T12:00:00,1,50.0
102254,-6.20513,106.80992,2020-02-07T12:00:00,1,78.0
102255,-6.23158,106.9294,2020-02-07T12:00:00,1,35.0
102257,-6.13984,106.87017,2020-02-07T12:00:00,1,27.0
102258,-6.17533,106.87423,2020-02-07T12:00:00,1,10.0
102259,-6.17256,106.86662,2020-02-08T12:00:00,1,37.0
102260,-6.17295,106.86678,2020-02-08T12:00:00,1,50.0
102261,-6.16998,106.91162,2020-02-08T12:00:00,1,40.0
102262,-6.15223,106.91157,2020-02-08T12:00:00,1,25.0
102263,-6.16041,106.888,2020-02-08T12:00:00,1,23.0
102264,-6.15373,106.91041,2020-02-08T12:00:00,1,29.0
102265,-6.13671,106.87121,2020-02-08T12:00:00,1,30.0
102266,-6.14984,106.88617,2020-02-08T12:00:00,1,55.0
102268,-6.18069,106.8844,2020-02-08T12:00:00,1,30.0
102270,-6.15339,106.90721,2020-02-08T12:00:00,1,30.0
102271,-6.14211,106.77685,2020-02-08T12:00:00,1,101.0
102273,-6.18001,106.86677,2020-02-08T12:00:00,1,60.0
102275,-6.13091,106.92403,2020-02-08T12:00:00,1,34.0
102276,-6.17678,106.88248,2020-02-08T12:00:00,1,30.0
102277,-6.15496,106.89596,2020-02-08T12:00:00,1,40.0
102278,-6.15337,106.89694,2020-02-08T12:00:00,1,40.0
102279,-6.20976,106.81349,2020-02-08T12:00:00,1,42.0
102280,-6.15641,106.89847,2020-02-08T12:00:00,1,40.0
102281,-6.15416,106.89372,2020-02-08T12:00:00,1,40.0
102282,-6.15321,106.86173,2020-02-08T12:00:00,1,45.0
102283,-6.19758,106.90916,2020-02-08T12:00:00,1,60.0
102284,-6.14824,106.91079,2020-02-08T12:00:00,1,40.0
102286,-6.1459,106.90676,2020-02-08T12:00:00,1,52.0
102287,-6.14777,106.89885,2020-02-08T12:00:00,1,40.0
102289,-6.15858,106.91015,2020-02-08T12:00:00,1,40.0
102291,-6.15341,106.89694,2020-02-08T12:00:00,1,65.0
102292,-6.15605,106.90814,2020-02-08T12:00:00,1,40.0
102294,-6.17938,106.90367,2020-02-08T12:00:00,1,50.0
102296,-6.15735,106.90724,2020-02-08T12:00:00,1,35.0
102297,-6.19343,106.94786,2020-02-08T12:00:00,1,66.0
102298,-6.15515,106.88601,2020-02-08T12:00:00,1,40.0
102299,-6.26857,106.83225,2020-02-08T12:00:00,1,35.0
102300,-6.16227,106.88142,2020-02-08T12:00:00,1,40.0
102302,-6.14653,106.90329,2020-02-08T12:00:00,1,40.0
102303,-6.20644,106.81385,2020-02-08T12:00:00,1,56.0
102304,-6.13907,106.91853,2020-02-08T12:00:00,1,60.0
102305,-6.21562,106.85956,2020-02-08T12:00:00,1,144.0
102308,-6.1915,106.81119,2020-02-08T12:00:00,1,31.0
102309,-6.15128,106.8898,2020-02-08T12:00:00,1,45.0
102310,-6.18027,106.80597,2020-02-08T12:00:00,1,25.0
102311,-6.26313,106.87889,2020-02-08T12:00:00,1,22.0
102312,-6.24776,106.90071,2020-02-08T12:00:00,1,26.0
102313,-6.2415,106.8918,2020-02-08T12:00:00,1,70.0
102315,-6.20446,106.81895,2020-02-08T12:00:00,1,36.0
102316,-6.17342,106.77638,2020-02-08T12:00:00,1,43.0
102318,-6.27895,106.87562,2020-02-08T12:00:00,1,30.0
102319,-6.16915,106.88476,2020-02-08T12:00:00,1,20.0
102320,-6.16026,106.76227,2020-02-08T12:00:00,1,76.0
102321,-6.17437,106.88262,2020-02-08T12:00:00,1,46.0
102322,-6.11702,106.923,2020-02-08T12:00:00,1,25.0
102323,-6.15516,106.86284,2020-02-08T12:00:00,1,60.0
102324,-6.16191,106.92117,2020-02-08T12:00:00,1,35.0
102325,-6.15457,106.89246,2020-02-08T12:00:00,1,58.0
102327,-6.24316,106.89732,2020-02-08T12:00:00,1,49.0
102329,-6.14528,106.91021,2020-02-08T12:00:00,1,20.0
102331,-6.201,106.85054,2020-02-08T12:00:00,1,1.0
102332,-6.17215,106.91193,2020-02-08T12:00:00,1,21.0
102335,-6.1819,106.79874,2020-02-09T12:00:00,1,18.0
102336,-6.1738,106.78769,2020-02-09T12:00:00,1,17.0
105846,-6.29467,106.82712,2020-02-16T12:00:00,1,15.0
106390,-6.15252,106.85817,2020-02-19T12:00:00,1,3.0
106392,-6.20145,106.84998,2020-02-19T12:00:00,1,5.0
107458,-6.19986,106.82611,2020-02-21T12:00:00,1,30.0
107498,-6.16958,106.8018,2020-02-21T12:00:00,1,34.0
108279,-6.19989,106.82608,2020-02-22T12:00:00,1,12.0
108307,-6.17522,106.95052,2020-02-22T12:00:00,1,42.0
108314,-6.20659,106.83225,2020-02-22T12:00:00,1,56.0
108325,-6.16187,106.92134,2020-02-22T12:00:00,1,25.0
